id,trial,aAngHG_oHead,aAngHG_oMid,aAngHG_oReach,aAngHGFeed1,aAngHGFeed2,aAngHGFeed3,aAngHGFeed4,aDistReach_1,aDistReach_2,aDistReach_3,aDistReach_4,oAngHGFeed1,oAngHGFeed2,oAngHGFeed3,oAngHGFeed4,oDistReach1,oDistReach2,oDistReach3,oDistReach4,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
54581,6,142.5024059,130.472481,123.8465303,139.8213287,121.0304226,122.2122962,89.32653734,0.524774287,0.433171719,0.262029017,0.258081342,56.0858731,23.10873039,19.41397898,22.47605799,0.158874029,0.04977977,0.15690759,0.28264823,0,0,0,1,0,0,0,0
54582,6,142.3240939,130.3615577,123.6208512,139.6905243,120.9434646,121.9621069,89.54832938,0.525850019,0.435651741,0.265255716,0.263315828,56.24829531,23.25429779,19.15966108,22.14953118,0.159433615,0.048081734,0.157532011,0.282400998,0,0,0,1,0,0,0,0
54583,6,142.1780212,130.0822624,123.9093595,139.5654733,120.8660664,121.7310716,89.78199329,0.527018963,0.438213658,0.268603992,0.268579379,56.39426729,23.06615106,19.27450185,22.4748711,0.157724549,0.051082644,0.155938055,0.282919986,0,0,0,1,0,0,0,0
54584,6,141.9574132,130.0606128,123.7447985,139.4461714,120.7980643,121.5188004,90.02678221,0.528279753,0.440855208,0.272067959,0.273869025,56.50317653,23.06070935,19.43410476,22.58811603,0.157813066,0.049822755,0.156814111,0.283142753,0,0,0,1,0,0,0,0
54585,6,141.9551136,129.7134644,123.8515938,139.3326088,120.7392895,121.3248735,90.28199143,0.529631017,0.443574169,0.275641931,0.279182067,56.56474343,23.11354603,19.4913528,22.57274215,0.157310697,0.050401787,0.155639221,0.282814206,0,0,0,1,0,0,0,0
54586,6,141.8499345,129.6980569,123.7597372,139.2247719,120.6895704,121.1488483,90.54695777,0.531071379,0.446368367,0.279320431,0.284516049,56.75403235,23.20377859,19.31869701,22.43499706,0.157653143,0.05006037,0.155384601,0.28242149,0,0,0,1,0,0,0,0
54587,6,141.7562679,129.4467638,123.8751299,139.1226391,120.6487287,120.9902599,90.82105355,0.532599462,0.449235677,0.283098199,0.289868742,56.59858589,23.01418879,19.6888482,22.86579321,0.156703359,0.052080657,0.154917055,0.283033877,0,0,0,1,0,0,0,0
54588,6,141.7592896,129.3838545,123.7331424,139.0261851,120.6165845,120.84863,91.10368822,0.534213888,0.452174021,0.286970197,0.295238123,56.42353254,22.65761763,19.87029098,23.23545107,0.157361577,0.04946465,0.155125574,0.282294454,0,0,0,1,0,0,0,0
54589,6,141.7418466,128.962691,123.5878519,138.9353797,120.5929548,120.7234694,91.394305,0.535913282,0.455181377,0.290931609,0.300622359,56.63079817,22.90691701,19.63604827,22.99107901,0.157943544,0.04892103,0.15536063,0.28203266,0,0,0,1,0,0,0,0
54590,6,141.7953059,128.7589793,123.675049,138.8501861,120.577653,120.6142793,91.69237742,0.537696272,0.458255771,0.294977842,0.306019786,56.39604698,22.87356311,19.52854147,22.96800928,0.157821376,0.050260463,0.154108898,0.281618994,0,0,0,1,0,0,0,0
54591,6,141.7941568,128.75034,123.5534349,138.7705643,120.5704917,120.520558,91.99741001,0.539561494,0.461395286,0.299104526,0.311428902,56.50310195,22.79416852,20.05830625,23.40096207,0.158307653,0.047964322,0.154693111,0.281260068,0,0,0,1,0,0,0,0
54592,6,80.25278071,89.1636929,102.0815789,105.969998,107.8326951,96.17559672,94.98409972,0.599370129,0.576189645,0.405081329,0.468623876,56.3991482,22.73230684,20.02250975,23.42650441,0.158153522,0.048740257,0.153923862,0.281033072,0,0,0,1,0,0,0,0
54593,6,77.73008688,85.55192538,98.45528721,103.44575,104.0558953,92.13075972,90.15292383,0.610082633,0.586285144,0.414363998,0.475429418,56.47611529,22.80562836,20.0507212,23.4554386,0.157801609,0.048545433,0.154174053,0.281320686,0,0,0,1,0,0,0,0
