id,trial,headFront_x,headFront_y,headFront_z,neck_x,neck_y,neck_z,lowerBack_x,lowerBack_y,lowerBack_z,leftWrist_x,leftWrist_y,leftWrist_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftElbow_x,leftElbow_y,leftElbow_z,s_1,s_2,s_3,s_4
16961,18,-341.446228,-386.3856812,2024.585449,-301.4030762,-345.8688354,1824.765625,-352.3685913,-95.17926025,2246.82959,-346.1538086,-384.1568604,2022.808838,-468.7758789,-342.3547363,1891.283691,-335.8626709,-387.1473999,2031.693359,0,0,0,0
16962,18,-341.7659302,-386.8862305,2024.328247,-301.3861694,-345.8509521,1824.756104,-350.7072754,-96.20056152,2249.074219,-346.4232788,-384.5932007,2022.54248,-468.8505859,-342.0701294,1891.031494,-336.1181641,-387.5872803,2031.477539,0,0,0,0
16963,18,-340.7365112,-386.0861206,2026.307617,-301.2737427,-346.3971558,1825.442017,-351.8131104,-95.39892578,2247.605469,-345.4420166,-383.6794434,2024.298584,-467.7182922,-339.9625244,1889.907349,-335.5360107,-386.7911377,2033.211914,0,0,0,0
16964,18,-341.8482056,-385.6795044,2025.073853,-302.0432129,-347.0389404,1825.26123,-348.5962524,-95.42022705,2250.002197,-346.4509888,-383.2927856,2023.198853,-468.7954407,-340.4161987,1890.118286,-336.276123,-386.239502,2032.178223,0,0,0,0
16965,18,-344.4920044,-383.9430542,2025.848633,-301.5373535,-346.597168,1825.156616,-344.5596924,-101.046814,2261.219238,-348.7967529,-381.8833008,2023.969116,-468.6627197,-341.8352051,1889.078857,-338.694458,-384.574585,2032.852783,0,0,0,0
16966,18,-341.3644409,-385.269043,2024.9375,-301.5348511,-346.8469849,1825.112549,-350.3568726,-95.16448975,2247.239258,-345.9290771,-383.0361328,2023.082275,-468.6035461,-341.848938,1890.417969,-335.6555786,-385.8804321,2031.942261,0,0,0,0
16967,18,-340.354126,-385.8497314,2025.414795,-301.1132202,-346.5465698,1824.998291,-348.977417,-95.37646484,2248.431152,-345.065918,-383.6100464,2023.493652,-468.5820007,-341.4015503,1889.825928,-334.7316284,-386.446106,2032.397339,0,0,0,0
16968,18,-338.6351318,-386.4943237,2026.837891,-299.8968506,-344.9969482,1824.156128,-357.7789917,-90.70410156,2239.482422,-343.4831543,-384.6132813,2025.056274,-466.9205017,-340.2958374,1889.653931,-333.4918213,-387.6974487,2033.455566,0,0,0,0
16969,18,-337.8723145,-391.2134399,2024.598633,-293.583252,-344.2358398,1824.27417,-362.9336548,-88.38928223,2231.508789,-343.0286255,-389.3388672,2022.716797,-463.4230042,-345.2943115,1890.040527,-332.7658081,-392.4807739,2031.017822,0,0,0,0
16970,18,-334.987793,-394.8734131,2025.983521,-288.8606567,-340.4921875,1822.845703,-373.6392822,-84.58251953,2222.566406,-340.6165161,-393.4848633,2024.076416,-462.1688232,-347.6835327,1888.231079,-331.2774658,-396.0132446,2032.294922,0,0,0,0
16971,18,-336.1395874,-395.6535034,2023.865234,-288.6706543,-340.8113403,1822.710693,-369.1366577,-84.70410156,2219.991211,-341.7838135,-394.0583496,2022.031128,-461.6817627,-346.7507935,1887.810425,-332.4545898,-396.7879639,2030.093628,0,0,0,0
16972,18,-348.3475342,-376.1344604,2026.374512,-295.5733643,-342.7702637,1823.515015,-352.2549438,-103.0281372,2255.64502,-353.1729126,-374.5305176,2024.564941,-469.1915588,-337.6031494,1887.346069,-343.1943359,-377.2076416,2033.161865,0,0,0,0
16973,18,-344.8864746,-381.2718506,2022.788818,-295.1148682,-343.6878662,1822.772095,-359.4078369,-95.08135986,2241.395996,-349.6987305,-378.9890747,2020.779053,-466.864563,-339.5983887,1888.480713,-339.496582,-382.0930786,2029.467163,0,0,0,0
16974,18,-339.7450562,-386.168396,2027.763428,-294.2002563,-341.9378662,1822.866699,-354.6732178,-92.02502441,2235.326416,-344.7628784,-384.1385498,2025.983398,-464.1056213,-344.1691895,1889.473389,-334.3977051,-387.366333,2034.228149,0,0,0,0
16975,18,-342.2211914,-384.5828857,2026.029785,-294.7202148,-342.4875488,1823.206909,-352.0181274,-93.11437988,2238.632813,-347.0377808,-382.230957,2024.314941,-464.2789917,-343.9217529,1890.51416,-336.9489746,-385.567749,2032.555176,0,0,0,0
16976,18,-341.9069214,-384.8563843,2026.084351,-298.6257935,-345.0758667,1824.427612,-351.5939941,-95.42901611,2243.702148,-346.6066895,-382.5548706,2024.168945,-466.2254333,-341.7301025,1889.894531,-336.7750854,-385.5206299,2032.730591,0,0,0,0
16977,18,-343.5406494,-380.8470459,2022.903809,-298.0411377,-343.5158081,1822.431763,-356.2191772,-98.63964844,2247.727539,-348.2476807,-378.5273438,2020.948364,-467.5297546,-340.1398926,1890.477051,-337.8630981,-381.0522461,2029.763672,0,0,0,0
16978,18,-348.8365479,-374.9185181,2025.079346,-298.9990234,-340.8043213,1821.743408,-349.3155518,-100.8439331,2256.844482,-353.7647705,-372.986145,2023.203857,-470.0657349,-336.2583618,1889.751953,-343.4278564,-375.4812622,2031.661865,0,0,0,0
16979,18,-348.4558105,-373.8304443,2024.648804,-297.7798462,-339.9373169,1821.824951,-348.8379517,-101.2409668,2258.198242,-353.3568115,-371.8587646,2022.688232,-469.6869812,-335.9053345,1889.721436,-343.0949097,-374.434021,2031.182861,0,0,0,0
16980,18,-349.0083618,-373.8810425,2023.672852,-297.6295166,-339.833313,1821.992676,-348.4348145,-100.6213989,2258.119873,-353.9066162,-371.8079834,2021.80542,-469.7167969,-336.2871094,1890.075562,-343.5125732,-374.2802124,2030.299805,0,0,0,0
16981,18,-346.6203613,-375.4174194,2023.634766,-298.9727783,-341.9810791,1822.179932,-348.3156738,-100.3595581,2255.950195,-351.4936523,-373.0774536,2021.732788,-470.0970764,-336.1616211,1890.065796,-341.2412109,-375.8729248,2030.613525,0,0,0,0
16982,18,-349.6363525,-374.8474121,2025.007324,-300.1696777,-340.9076538,1821.898682,-346.8204346,-101.5408936,2259.454102,-354.5447388,-372.9465332,2023.185303,-470.5230408,-336.1325684,1890.170898,-344.1564331,-375.3840942,2031.697998,0,0,0,0
16983,18,-347.5097046,-377.4136963,2022.783691,-299.8757935,-343.3475952,1822.689331,-353.5336304,-99.9753418,2253.373535,-352.4371948,-375.350708,2020.957153,-469.3118896,-338.2120361,1890.979248,-341.8582153,-377.7883301,2029.624268,0,0,0,0
16984,18,-345.4578857,-378.9246216,2022.393555,-299.7868042,-343.3461304,1822.588623,-355.083374,-98.37908936,2250.216309,-350.5045166,-376.8446655,2020.528687,-469.3590698,-338.4674683,1891.038086,-339.8256226,-379.378418,2029.20752,0,0,0,0
16985,18,-345.2756348,-381.132019,2021.203369,-299.9343262,-343.413147,1822.216797,-356.416626,-97.05432129,2246.689209,-350.3461304,-379.102356,2019.20752,-468.9833984,-338.4509277,1890.510986,-339.7733154,-381.7762451,2027.778809,0,0,0,0
16986,18,-346.5718384,-378.2057495,2022.421021,-300.3744507,-344.2316895,1823.048706,-357.100708,-97.6774292,2247.950684,-351.6095581,-376.2741089,2020.58374,-470.0758362,-337.3478394,1890.385132,-340.9985962,-378.8630981,2029.233276,0,0,0,0
16987,18,-348.3893433,-375.0596313,2023.42041,-301.5116577,-341.9418945,1822.752319,-348.5211182,-97.18347168,2253.409912,-353.2717896,-373.0214233,2021.649902,-470.4812012,-334.9968872,1889.848145,-342.7158203,-375.4437256,2030.222656,0,0,0,0
