H_trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z,s_1,s_2,s_3,s_4
1,-367.2298584,-269.3796997,2017.732544,-273.637146,-308.2736816,1806.84668,-356.4725952,-92.20440674,2229.155029,-369.5748901,-270.3302612,2014.220093,-447.3805237,-325.1560669,1870.118652,-364.0645752,-269.2588501,2022.244263,1,1,1,1
1,-362.6619263,-281.2659912,2028.833496,-268.230835,-300.9470825,1806.80127,-360.3908081,-83.11248779,2238.056152,-365.149231,-282.6261597,2026.984863,-440.0656433,-323.3094482,1871.028076,-360.4336548,-282.3728027,2034.74292,1,1,1,1
1,-363.1530762,-278.3082886,2028.376221,-267.7098999,-296.8031616,1807.609497,-356.8366089,-84.93060303,2238.726074,-364.8498535,-279.5245361,2026.329834,-433.5417786,-324.5751953,1870.707031,-361.5239868,-279.1774902,2032.990723,1,1,1,1
1,-360.6836548,-278.9500732,2029.176636,-265.0980225,-299.6343384,1807.910278,-351.2521973,-84.01293945,2233.949219,-362.7894897,-280.5289917,2026.255005,-431.0430908,-325.8590088,1873.222656,-358.8286133,-279.7481079,2033.876953,1,1,1,1
1,-365.7053223,-273.6608887,2031.51416,-260.1461792,-314.6758728,1811.912354,-357.769104,-87.40032959,2242.523682,-367.6691895,-275.7637329,2029.76123,-427.8561096,-329.5402527,1872.57666,-363.2806396,-274.9545288,2038.04895,1,1,1,1
1,-360.0090332,-278.9420776,2040.290283,-255.9186401,-321.6974487,1812.390259,-344.729187,-80.87451172,2231.378174,-360.9730225,-280.750061,2038.930054,-422.9544983,-338.8730164,1877.204346,-357.22052,-279.796875,2047.307129,1,1,1,1
1,-354.6484375,-274.7705078,2044.014893,-250.0736084,-325.2830811,1812.538208,-346.576416,-87.34191895,2232.037842,-355.3422852,-275.9557495,2041.622803,-418.6248169,-340.6536865,1880.212158,-351.4470825,-274.5466309,2049.865723,1,1,1,1
1,-352.9449463,-290.9136963,2053.490723,-237.87146,-323.4167786,1813.666138,-349.1777954,-85.68218994,2253.882813,-354.0488892,-292.2095337,2050.591309,-413.5025024,-350.6082458,1883.563232,-350.8845825,-290.8261108,2060.040527,1,1,1,1
1,-332.4359131,-293.0834961,2054.462402,-227.3018188,-320.8912964,1815.754028,-363.0228271,-99.16485596,2288.601074,-335.1872559,-294.7863159,2051.75,-405.3082581,-357.0471497,1887.049316,-331.1379395,-294.1344604,2060.874268,1,1,1,1
1,-329.0574951,-302.9257813,2039.666504,-220.81073,-324.1980896,1811.44043,-340.1516724,-89.31079102,2254.071533,-331.8284912,-306.78125,2034.809326,-397.5727539,-360.5315247,1880.084473,-327.3178101,-306.0802612,2044.05957,1,1,1,1
1,-297.1323853,-363.9179688,2031.205566,-227.1216431,-323.0401001,1807.396118,-343.152771,-77.58422852,2250.980469,-301.1416016,-363.9121704,2027.96228,-386.5904846,-363.2218018,1878.172119,-296.1609497,-363.7348633,2035.888672,1,1,1,1
1,-297.2940674,-366.4871826,2019.392578,-219.4224854,-328.1195679,1814.380737,-328.3514404,-74.43713379,2220.641357,-301.2659302,-367.4293213,2016.79248,-384.2066345,-370.2985229,1877.679199,-296.7987671,-368.1496582,2023.934937,1,1,1,1
1,-333.1131592,-294.7397461,2069.68335,-220.0609741,-339.5031433,1812.130615,-364.8098755,-96.45220947,2284.711426,-335.4732056,-297.4973145,2065.145508,-384.0974426,-377.489502,1872.767334,-330.6625366,-295.7803955,2075.888184,1,1,1,1
1,-334.1464233,-289.5498047,2068.70874,-216.828125,-344.0454407,1809.862793,-347.2425537,-97.11462402,2275.560547,-335.6186523,-292.4055176,2064.695313,-379.0472717,-389.8578491,1880.876221,-332.7095947,-290.7667847,2073.745605,1,1,1,1
1,-329.5852051,-281.0249634,2064.150879,-210.4625244,-351.9252319,1813.208374,-349.62854,-113.0064087,2291.391357,-330.9995117,-284.8595581,2060.660889,-375.2246094,-399.4440918,1885.225464,-329.0541382,-283.1789551,2068.57251,1,1,1,1
1,-329.8151245,-266.4220581,2039.673218,-207.6886597,-343.0227661,1810.392212,-356.9865112,-117.4506836,2280.740723,-332.4262695,-270.4755249,2037.945313,-371.5816345,-388.0094299,1901.134277,-329.8362427,-268.7476807,2044.276001,1,1,1,1
1,-327.7757568,-276.2372437,2001.503662,-212.2352295,-346.8603821,1801.659668,-349.3814087,-257.4796143,2186.189941,-328.6032715,-282.6704712,1999.899048,-361.8687439,-413.2829285,1902.423584,-326.2110596,-281.5413818,2003.120605,1,1,1,1
1,-311.5960083,-296.8753662,2012.797363,-199.6668701,-372.7373657,1808.692383,-340.0931702,-108.8880615,2216.485352,-313.6068726,-302.1491699,2010.323364,-355.6528015,-423.5589905,1905.177979,-311.1079102,-298.7113037,2016.142334,1,1,1,1
1,-266.4164429,-415.3779907,2052.366211,-190.7263184,-383.0633545,1817.637207,-275.7715454,-97.95019531,2230.061035,-268.8463745,-417.137146,2049.361084,-337.0891418,-445.1192627,1915.947632,-265.7268677,-414.3496094,2056.811035,1,1,1,1
1,-276.2675781,-445.6920166,2011.937134,-177.5333252,-413.8973389,1827.925415,-306.0938721,-123.9298096,2199.374512,-279.0020752,-447.8312378,2011.295166,-330.0268555,-471.5257263,1930.090088,-273.7008667,-445.5672607,2017.120728,1,1,1,1
1,-267.6052246,-443.7528076,1993.952148,-181.9328003,-413.1283569,1825.599243,-292.440918,-134.5229492,2217.769531,-269.3960571,-445.5394287,1994.616333,-331.2400513,-470.6211853,1926.499756,-265.6498413,-443.9766235,1999.93457,1,1,1,1
1,-275.2196045,-429.618103,1993.973022,-178.2097168,-416.0370483,1823.276611,-286.7894897,-121.3944092,2216.769775,-277.7605591,-431.1980591,1993.601318,-339.4614868,-466.2306519,1913.840332,-273.0175781,-429.6700439,2000.029785,1,1,1,1
1,-272.7086182,-458.3800049,2012.689697,-171.6964111,-436.439209,1832.136963,-333.0419006,-110.4512329,2184.094727,-274.7711182,-458.6890259,2013.049561,-323.9818115,-486.6341553,1934.318481,-270.5426636,-458.3571777,2017.775635,1,1,1,1
1,-272.9191895,-452.6903687,2015.457764,-173.4153442,-439.0426025,1832.723633,-325.952301,-110.0717773,2178.32373,-275.5637207,-452.6571045,2015.503418,-327.4859924,-488.1004639,1920.154541,-270.6434326,-452.0302734,2020.36377,1,1,1,1
1,-269.9885254,-453.5888672,2017.165039,-168.4269409,-442.4418335,1832.965088,-323.1822205,-108.1558838,2180.463379,-273.5824585,-453.5244751,2016.428711,-327.4982605,-495.4733887,1920.454834,-268.84021,-452.6964722,2021.588135,1,1,1,1
