id,trial,headFront_x,headFront_y,headFront_z,headFront_confidence,neck_x,neck_y,neck_z,neck_confidence,lowerBack_x,lowerBack_y,lowerBack_z,lowerBack_confidence,leftWrist_x,leftWrist_y,leftWrist_z,leftWrist_confidence,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftShoulder_confidence,leftElbow_x,leftElbow_y,leftElbow_z,leftElbow_confidence
55777,23,-275.2825928,-228.902832,2046.444824,0.001393241,-171.2956543,-154.6347046,1796.619385,0.80691254,-380.6140137,-105.1758423,2277.285645,0.5235567,-275.3991699,-233.1682129,2040.559326,0.001511267,-289.6032715,-276.2244873,1836.493164,0.6788568,-273.3789063,-231.3908081,2052.164551,0.001252814
55778,23,-257.5716553,-251.3508301,2068.603516,0.001524305,-156.8790894,-165.8355103,1807.434814,0.7828305,-376.7475281,-97.88372803,2272.539551,0.49996817,-257.477417,-255.0457764,2063.283936,0.001322717,-292.0270081,-280.4472961,1843.764526,0.67548335,-255.2191162,-253.2330933,2074.852783,0.001293887
55779,23,-283.592041,-238.598877,2067.748047,0.001567696,-171.9703369,-144.9302979,1815.717285,0.8113535,-350.6022339,-164.4459839,2333.865234,0.35449746,-283.5615234,-244.8363037,2060.807129,0.001623976,-276.0144653,-286.6264954,1844.091309,0.688782,-282.0884399,-242.5335083,2073.077637,0.001358799
55780,23,-289.1834106,-233.0930786,2063.670654,0.001542495,-174.3797607,-141.232666,1807.926758,0.7843501,-375.4963989,-150.7265625,2312.80127,0.39132088,-288.9041138,-237.6793213,2057.290283,0.001670657,-276.8933716,-281.977417,1841.454834,0.6740465,-288.7287598,-236.182312,2068.809082,0.001386584
55781,23,-280.9540405,-238.4522705,2066.112793,0.001427598,-178.9436646,-140.9237671,1810.003174,0.7749374,-374.5269165,-156.0307007,2311.139648,0.38509792,-281.3874512,-242.3213501,2060.555908,0.001487426,-298.6021729,-258.5523071,1835.776855,0.7137932,-279.4606934,-241.4763184,2071.94165,0.001288098
55782,23,-284.0038452,-229.7054443,2061.660889,0.001433493,-177.4657593,-139.1037598,1811.575684,0.77590984,-345.5127563,-186.131958,2345.168457,0.33907568,-283.9893188,-233.1519165,2055.870117,0.001557711,-285.9636841,-268.6382141,1840.869141,0.68450236,-282.4655762,-231.9159546,2067.427002,0.001279936
55783,23,-280.3712158,-240.6854248,2068.765625,0.001363611,-170.9024048,-149.5351563,1818.37561,0.7760378,-352.7644958,-180.0378418,2336.792969,0.31303242,-280.7175903,-243.9996338,2063.183838,0.001346075,-281.8314819,-277.4855652,1845.126953,0.65192074,-279.7474976,-242.1344604,2074.405029,0.00109956
55784,23,-288.0453491,-241.3289185,2065.706055,0.00132706,-177.3132935,-150.0355225,1809.488525,0.8029203,-367.1645508,-186.5471191,2325.848633,0.3604572,-286.4197998,-245.7597656,2058.650146,0.001466662,-273.3102417,-289.4331055,1842.785645,0.67087305,-286.3334961,-243.4287109,2071.338867,0.001192035
55785,23,-277.5615234,-244.5177002,2060.626953,0.001397539,-165.421875,-158.2387695,1806.851929,0.82168585,-360.7302246,-157.4683228,2323.0896,0.3155015,-276.6934814,-247.6582031,2053.360107,0.001499051,-280.9415894,-284.3591919,1841.526367,0.6636904,-276.9596558,-245.6914063,2065.617188,0.001199045
55786,23,-274.9121094,-249.7025757,2053.786621,0.001341622,-152.2126465,-173.3093262,1807.343262,0.77374583,-349.940094,-140.2009888,2321.97876,0.33109415,-274.7766724,-251.2576904,2047.959473,0.001415701,-291.1028442,-271.7815552,1838.89563,0.7249938,-272.3459473,-250.6013184,2059.392334,0.001224489
55787,23,-260.2493286,-267.2111816,2066.582764,0.001285762,-136.2717285,-193.6154175,1813.106323,0.7080899,-380.9354858,-83.87145996,2262.8479,0.53015447,-261.9384155,-268.0396118,2059.522461,0.001416046,-293.5843201,-271.1255493,1832.931763,0.6788673,-259.4884033,-267.1623535,2071.453125,0.00102929
55788,23,-286.3658447,-214.6792603,2047.546143,0.001603988,-135.2977295,-207.3042603,1827.566162,0.71775925,-385.2300415,-88.1282959,2266.944824,0.5398971,-286.9987183,-220.3729248,2040.787354,0.00155643,-261.6166992,-326.7198792,1865.806396,0.48696226,-288.1089478,-215.031311,2051.277344,0.001401537
55789,23,-266.8804932,-270.6211548,2073.792725,0.001386916,-143.6696777,-193.3702393,1813.570313,0.75234526,-370.7990723,-103.390686,2251.942383,0.37642843,-267.8585205,-273.4044189,2066.704346,0.00148041,-287.0523682,-287.2832031,1845.177002,0.6685774,-264.9846191,-272.5952759,2078.604492,0.00122874
55790,23,-289.87323,-240.3286133,2052.583252,0.00154669,-128.9851685,-218.6887207,1824.393311,0.7195696,-415.9422607,-120.862854,2233.206543,0.4332005,-290.7095337,-245.5829468,2047.942139,0.001484487,-266.333313,-330.4568787,1857.307861,0.575783,-291.3554077,-242.706604,2056.326172,0.001358264
55791,23,-292.053894,-244.9550171,2048.609863,0.00127123,-131.7868042,-226.4939575,1820.445679,0.72793853,-390.7894287,-139.1842041,2270.86499,0.3998717,-290.3128052,-253.4946289,2042.77002,0.001429346,-239.378479,-386.8928833,1881.582764,0.6005169,-291.418396,-247.597168,2052.674561,0.001038058
55792,23,-279.3052368,-256.5962524,2050.555176,0.001202734,-145.2591553,-223.0233154,1814.891724,0.8168249,-393.2503357,-136.0076904,2218.29248,0.42716214,-280.842041,-258.9753418,2045.935791,0.001438609,-284.086792,-317.4176941,1855.509155,0.51694727,-278.6576538,-257.3331909,2056.076172,0.001006572
55793,23,-261.1702271,-266.7738647,2050.508301,0.001281126,-136.0258789,-236.5067139,1815.780518,0.83867943,-327.3477478,-107.4052734,2148.001465,0.17730036,-261.5471191,-268.6750488,2044.821289,0.001487529,-284.3426514,-335.1903687,1857.493896,0.7055144,-259.5812378,-265.7302856,2054.30127,0.001130895
55794,23,-256.8525391,-285.5584106,2052.06543,0.001183809,-132.4292603,-251.4396362,1818.444336,0.78401893,-333.0500488,-102.4242554,2300.238281,0.42791045,-257.9526978,-285.1521606,2048.530029,0.001285754,-287.1159668,-303.3675537,1859.986694,0.6872327,-254.6363525,-285.4279785,2058.28418,0.00102178
55795,23,-233.5771484,-303.1487427,2045.525635,0.001489215,-129.9405518,-269.6954956,1818.760986,0.76685965,-370.9213257,-109.019104,2240.61792,0.46520606,-234.8093872,-303.5310669,2040.801392,0.001391098,-279.0549927,-328.955658,1865.930664,0.71438575,-233.013916,-300.6530151,2050.261475,0.00123839
55796,23,-228.022644,-323.197876,2047.182251,0.001283608,-134.6037598,-263.6938477,1810.739868,0.8278778,-342.2536621,-105.3765259,2210.05127,0.46051595,-228.8245239,-324.8444824,2043.188232,0.001382723,-276.5333862,-346.0869141,1866.679443,0.68810654,-226.9241943,-320.9304199,2051.788574,0.00112335
55797,23,-231.8493042,-329.2402344,2040.163574,0.001255273,-131.5514526,-297.8566895,1825.041626,0.81992996,-345.3278198,-106.4841309,2228.102051,0.47931537,-234.0643921,-330.545105,2036.036743,0.001326692,-278.4272156,-348.7855835,1879.072021,0.7542024,-232.2093506,-327.121582,2044.483643,0.00106932
55798,23,-231.1206665,-326.0560303,2046.375244,0.001280132,-122.6988525,-320.5778198,1831.889893,0.8152299,-335.1725769,-119.5904541,2222.609375,0.4438482,-232.5167847,-328.4746704,2042.159302,0.001412799,-276.5247498,-353.7187195,1878.437012,0.7441848,-230.8693848,-325.4779053,2050.751221,0.001123847
55799,23,-235.7148438,-328.5682373,2036.236816,0.001464347,-117.5559692,-327.958252,1834.241943,0.78340983,-334.9176331,-114.8846436,2218.408936,0.42825064,-237.2480469,-330.9210815,2032.538208,0.001381604,-274.7720337,-359.5136108,1884.411865,0.7233074,-235.446167,-326.789856,2040.178955,0.001211414
