time_stamp_m,time_stamp_s,id,trial,nose_x,nose_y,nose_z,headTop_x,headTop_y,headTop_z,neck_x,neck_y,neck_z,tailBase_x,tailBase_y,tailBase_z,lEar_x,lEar_y,lEar_z,lShoulder_x,lShoulder_y,lShoulder_z,lElbow_x,lElbow_y,lElbow_z,lWrist_x,lWrist_y,lWrist_z,lHip_x,lHip_y,lHip_z,lKnee_x,lKnee_y,lKnee_z,lAnkle_x,lAnkle_y,lAnkle_z,rEar_x,rEar_y,rEar_z,rShoulder_x,rShoulder_y,rShoulder_z,rElbow_x,rElbow_y,rElbow_z,rWrist_x,rWrist_y,rWrist_z,rHip_x,rHip_y,rHip_z,rKnee_x,rKnee_y,rKnee_z,rAnkle_x,rAnkle_y,rAnkle_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
1.342,80.52,4026,16,1145.833008,-510.5567932,1732.527832,1151.265869,-511.4982605,1683.369019,1362.081573,-421.4389235,1712.346191,1331.630615,-601.5037842,2049.697998,1215.88034,-438.330072,1626.11275,1311.546292,-379.8371661,1673.00516,1185.819178,-339.9155174,1797.746302,962.1007569,-256.7876111,1523.218676,1364.010612,-511.6915321,2044.217967,1237.112776,-386.2107099,1991.056695,1321.015776,-368.5166866,1953.211577,1245.313721,-536.7767334,1681.286865,1204.813354,-452.7628479,1780.830566,1130.836865,-356.695907,1798.862931,962.8355713,-362.2484131,1711.270264,1252.916992,-574.336792,2061.690186,1217.230103,-456.6569519,2096.591797,1200.464722,-469.6849365,2272.143311,1,1,1,1,0,0,0,0
1.342333333,80.54,4027,16,1135.999756,-503.5413818,1743.760254,1137.033203,-500.8400269,1694.557251,1361.660134,-418.3684683,1712.346191,1337.604248,-597.2593384,2057.006836,1198.169678,-430.9468994,1662.212646,1309.647106,-364.9144088,1671.105975,1184.119601,-324.99769,1796.046725,960.8168189,-244.3610139,1521.934738,1361.452154,-494.6503892,2041.659509,1235.181722,-370.0698625,1989.125641,1319.173193,-352.1455498,1951.368994,1238.662598,-531.7524414,1684.533203,1196.975342,-446.3023987,1783.486816,1165.8927,-390.4030151,1895.117188,1022.994019,-344.0731201,1786.822388,1247.420166,-574.2044678,2066.182373,1224.21167,-462.5428467,2115.291016,1196.422974,-470.6852417,2302.335449,1,1,1,1,0,0,0,0
1.342666667,80.56,4028,16,1137.242676,-503.2184448,1756.988892,1139.257324,-501.1893005,1707.454102,1361.241766,-415.2988561,1712.346191,1330.490845,-596.1951904,2064.544189,1192.064331,-429.528656,1679.016968,1307.822534,-350.0106434,1669.281402,1182.494612,-310.0968583,1794.421736,959.5950138,-231.9472561,1520.712933,1358.978902,-477.6348309,2039.186257,1233.331373,-353.9483257,1987.275292,1317.412465,-335.7928389,1949.608266,1230.16272,-523.7697754,1693.4198,1193.857056,-446.7095947,1800.754761,1164.456543,-392.5599976,1918.906616,1020.834351,-331.6870117,1843.708618,1250.624424,-564.8896057,2063.861095,1216.189331,-466.6795349,2141.832031,1161.546509,-472.5378418,2322.681396,1,1,1,1,0,0,0,0
1.343,80.58,4029,16,1131.876953,-490.8114929,1768.93811,1132.66748,-489.718811,1720.628052,1360.826467,-412.2300805,1712.346191,1316.688354,-601.6207275,2077.838623,1171.676514,-432.6065674,1689.319214,1306.072481,-335.1251237,1667.531349,1180.944128,-295.2122766,1792.871252,1300.665527,-336.3931274,1664.28894,1356.590728,-460.6440051,2036.798083,1231.561631,-337.8452924,1985.50555,1315.733501,-319.4577353,1947.929302,1220.921753,-520.7584229,1709.089966,1193.106567,-449.0032654,1813.881592,1152.494385,-406.925354,1933.657959,1015.136169,-332.2556763,1909.36731,1247.799976,-548.3171781,2061.036647,1181.731812,-477.0752258,2155.350098,1153.558838,-479.7526855,2329.668701,1,1,1,1,0,0,0,0
1.343333333,80.6,4030,16,1118.327148,-484.0427856,1779.369019,1118.295898,-480.3048096,1733.07312,1360.414237,-409.1621356,1712.346191,1333.717529,-606.3603516,2083.69751,1179.434321,-423.6124582,1680.760086,1304.396855,-320.2571046,1665.855724,1179.468066,-280.3431997,1791.39519,1253.58667,-331.2989502,1727.753418,1354.287508,-443.677061,2034.494863,1229.872405,-321.7599565,1983.816324,1314.136212,-303.1394212,1946.332013,1216.637817,-509.4606628,1718.084717,1193.052599,-439.2200159,1804.428597,1157.164795,-412.0801697,1957.881226,1016.715698,-327.6497192,1962,1245.05839,-531.772995,2058.295061,1175.703857,-483.2473145,2157.102783,1141.60791,-479.5144043,2335.983154,1,1,1,1,0,0,0,0
1.343666667,80.62,4031,16,1116.549316,-475.7418518,1795.063721,1113.565186,-472.5812378,1747.712891,1360.005075,-406.0950152,1712.346191,1343.327637,-591.9002686,2088.216309,1166.669434,-398.1283569,1717.386353,1302.79557,-305.4058417,1664.254438,1178.06635,-265.4888834,1789.993474,1222.777588,-344.3352051,1826.276367,1352.069123,-426.7331492,2032.276478,1228.263605,-305.6915128,1982.207524,1312.620515,-286.8370801,1944.816316,1202.815186,-495.5558472,1731.758057,1154.180542,-459.0021667,1847.88501,1158.33374,-411.1671448,1975.057861,1016.596313,-318.3650513,2009.135498,1263.418335,-583.5762939,2097.552979,1171.686768,-488.5838318,2160.461426,1127.623657,-478.4869385,2342.007324,1,1,1,1,0,0,0,0
1.344,80.64,4032,16,1102.72229,-468.1420898,1811.770874,1103.977905,-461.6864929,1762.701904,1359.59898,-403.028713,1712.346191,1344.979736,-586.449646,2094.962646,1154.926392,-387.1125488,1739.545166,1301.26854,-290.5705916,1662.727409,1176.738906,-250.6485843,1788.66603,1195.405762,-332.6611938,1877.560181,1349.935457,-409.8114212,2030.142812,1226.735147,-289.6391572,1980.679067,1311.186329,-270.549896,1943.38213,1186.347412,-484.0539246,1745.103271,1149.757568,-446.357666,1870.052612,1148.38269,-419.2467651,1992.571777,1029.822754,-319.3637085,2055.543701,1253.724609,-595.4402466,2100.905273,1164.429443,-495.9661255,2162.231689,1117.938477,-478.3443909,2346.847656,1,1,1,1,0,0,0,0
1.344333333,80.66,4033,16,1090.803589,-457.8164063,1820.881592,1090.152466,-450.3934631,1771.663208,1359.195951,-399.9632231,1712.346191,1344.10144,-588.3062744,2104.6604,1159.363898,-385.4592718,1726.529192,1203.378296,-366.2275085,1826.125854,1175.485663,-235.8215596,1787.412787,1139.682861,-334.4451904,1919.380371,1347.8864,-392.9110298,2028.093755,1225.286951,-273.6020861,1979.230871,1309.83358,-254.2770537,1942.029381,1177.625122,-472.0956421,1758.568848,1150.296265,-438.7977905,1872.768188,1138.928467,-424.5058594,2007.109131,1028.781982,-328.3613281,2077.521484,1269.904663,-595.8895874,2110.012939,1151.498901,-493.2155151,2171.487793,1110.341309,-475.4065247,2349.869141,1,1,1,1,0,0,0,0
1.344666667,80.68,4034,16,1078.388184,-449.6853638,1835.899658,1075.723022,-441.7422485,1788.365479,1358.795988,-396.8985392,1712.346191,1349.888672,-587.6239624,2108.738281,1157.436602,-371.0298064,1724.601896,1183.206421,-352.2242432,1838.861572,1174.306555,-221.0070674,1786.233679,1165.984182,-325.3958712,1888.095526,1345.921845,-376.031129,2026.1292,1223.918941,-257.579497,1977.86286,1308.562195,-238.0177389,1940.757996,1182.805783,-470.3148382,1748.826287,1151.829834,-446.8856201,1887.182373,1144.39502,-425.1781311,2021.248535,1013.041748,-326.973877,2063.60498,1271.231323,-595.5358887,2110.270264,1141.471191,-493.1363831,2172.776367,1103.240479,-472.3754883,2349.621826,1,1,1,1,0,0,0,0
1.345,80.7,4035,16,1062.53418,-441.6058044,1853.355103,1059.003418,-429.8474426,1806.412354,1358.399089,-393.8346552,1712.346191,1347.055463,-586.033429,2104.825822,1155.581453,-356.6196139,1722.746747,1165.368164,-339.9846802,1861.49292,1173.20152,-206.2043662,1785.128644,1163.86731,-331.8756714,1982.016235,1344.041689,-359.1708738,2024.249044,1222.631044,-241.570588,1976.574963,1307.372106,-221.7711379,1939.567907,1180.454208,-455.6566779,1746.474712,1161.41748,-446.6750793,1903.082886,1140.564209,-422.3135986,2049.181885,1006.11731,-334.1380615,2071.140137,1261.410034,-600.348999,2113.558105,1140.669678,-495.3291626,2175.364502,1100.807129,-467.9159851,2349.237793,1,1,1,1,0,0,0,0
