time_stamp_m,time_stamp_s,id,trial,H_headTop_x,H_headTop_y,H_headTop_z,H_neck_x,H_neck_y,H_neck_z,H_tailBase_x,H_tailBase_y,H_tailBase_z,H_lEar_x,H_lEar_y,H_lEar_z,H_lShoulder_x,H_lShoulder_y,H_lShoulder_z,H_lElbow_x,H_lElbow_y,H_lElbow_z,H_lWrist_x,H_lWrist_y,H_lWrist_z,H_lHip_x,H_lHip_y,H_lHip_z,H_rEar_x,H_rEar_y,H_rEar_z,H_rShoulder_x,H_rShoulder_y,H_rShoulder_z,H_rHip_x,H_rHip_y,H_rHip_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
8.161333333,489.68,24484,1,-128.8144531,-459.2425537,1666.24353,-223.225708,-327.1870728,1811.236328,-353.3218689,-88.98168945,2288.238037,-243.8161621,-436.0370178,1717.016357,-393.2158813,-366.7584839,1874.271484,-288.852356,-363.9453125,1991.096802,-287.4401245,-363.5276184,1990.422241,-464.0778198,-150.6524658,2290.525391,-97.11529541,-388.6245728,1746.226563,-86.2444458,-285.230896,1896.678467,-221.7935181,-130.1921997,2289.627441,1,1,1,1,0,0,0,0
8.161666667,489.7,24485,1,-122.8925171,-478.0614929,1674.172607,-217.9073486,-331.6571045,1809.69458,-351.1577148,-84.42150879,2262.746582,-236.7218628,-445.1304321,1717.933228,-387.4075623,-369.5220032,1875.722046,-284.3433838,-367.5951538,1981.894043,-282.7675171,-367.1789856,1981.708374,-458.7127991,-145.4573975,2267.122559,-91.76971436,-396.9995728,1749.204102,-78.94842529,-295.7046509,1899.158569,-221.5367432,-124.9953003,2275.885254,1,1,1,1,0,0,0,0
8.162,489.72,24486,1,-115.9092407,-491.0124817,1680.288696,-212.0565796,-335.5030518,1808.260132,-350.814209,-89.95892334,2264.777832,-230.9554443,-453.6564941,1721.064209,-379.6843262,-379.5409241,1875.512207,-282.2757568,-372.2974243,1983.995728,-280.8084717,-371.7885742,1983.66272,-458.5968018,-147.798584,2260.545898,-86.52020264,-401.9992676,1752.481934,-74.49200439,-298.9039307,1899.21875,-218.4789429,-130.4257813,2279.077881,1,1,1,1,0,0,0,0
8.162333333,489.74,24487,1,-116.0450439,-498.6221924,1680.425537,-206.507019,-337.3837585,1806.968018,-351.3642578,-91.74499512,2264.688965,-227.1343994,-457.5073242,1724.164307,-372.7721252,-380.8895264,1872.646973,-281.6621094,-370.7058411,1982.777832,-280.0605469,-370.4087524,1982.463867,-460.2911072,-151.4048462,2264.810303,-81.45092773,-411.6652832,1754.636108,-65.80737305,-309.873291,1899.158447,-218.2778931,-129.5615234,2279.308105,1,1,1,1,0,0,0,0
8.162666667,489.76,24488,1,-104.907959,-504.0824585,1684.260742,-202.5256958,-343.7697144,1810.740723,-341.918457,-93.36743164,2284.180664,-220.3618164,-466.4949951,1725.544678,-369.8655396,-396.7817993,1879.48877,-265.3701172,-369.7079468,1983.59082,-264.0326538,-369.8797302,1983.17749,-456.9151611,-156.4695435,2273.991699,-76.13049316,-417.734314,1759.265503,-62.07128906,-311.7503662,1903.856323,-209.4328613,-134.010437,2286.543457,1,1,1,1,0,0,0,0
8.163,489.78,24489,1,-93.99304199,-515.3279419,1690.390747,-200.7692871,-348.3078613,1814.489014,-345.7158813,-94.6854248,2285.007324,-216.7034912,-472.0343018,1725.074707,-365.4381714,-406.3495789,1884.94458,-257.5987549,-374.4387817,1981.395264,-256.2685547,-374.4685059,1981.211304,-459.1323853,-160.5675659,2277.532715,-72.66003418,-424.8618774,1760.916138,-54.60205078,-321.1995239,1906.705444,-209.1643066,-133.5157471,2285.765137,1,1,1,1,0,0,0,0
8.163333333,489.8,24490,1,-93.22045898,-521.5352173,1691.775146,-196.5541992,-361.6251831,1817.6521,-342.6657715,-100.4230347,2281.934082,-215.4508057,-479.9932861,1727.398804,-362.3550415,-409.4906921,1886.986938,-241.4559326,-380.7878418,1985.691284,-240.5120239,-380.2848206,1985.521973,-459.248291,-169.4171753,2275.010498,-67.03607178,-433.7903442,1762.170288,-51.94177246,-326.673584,1895.167969,-200.9141846,-138.0908813,2288.624756,1,1,1,1,0,0,0,0
8.163666667,489.82,24491,1,-89.90765381,-531.6697388,1695.356934,-192.0299072,-373.554718,1818.085571,-346.5552673,-104.0266724,2275.681152,-210.9154663,-489.4487915,1730.059814,-359.1954346,-426.9223633,1888.323242,-244.3094482,-380.8337097,1979.768555,-243.0063477,-380.8857117,1979.606445,-462.0484924,-173.7775269,2275.281494,-62.08807373,-439.9696045,1765.816406,-50.09368896,-333.9078979,1899.666992,-203.8140869,-129.8724365,2279.908691,1,1,1,1,0,0,0,0
8.164,489.84,24492,1,-87.08117676,-534.6206055,1696.208984,-189.8460693,-380.3365784,1819.064697,-342.6664124,-113.2949219,2286.608154,-206.7388916,-499.1426697,1734.311035,-352.7978516,-441.9869385,1893.481445,-238.7463989,-393.2672729,1981.117798,-237.4194336,-392.9655762,1980.976318,-459.4750977,-182.2866821,2277.849121,-59.94189453,-451.053009,1770.179932,-45.24890137,-345.3844604,1902.155518,-197.8223267,-142.1477051,2286.897705,1,1,1,1,0,0,0,0
8.164333333,489.86,24493,1,-80.08184814,-548.5761719,1703.706543,-185.6026611,-387.5737,1824.003418,-344.2975464,-116.0632935,2284.577393,-200.5318604,-509.1752014,1739.261719,-348.7446289,-454.1906128,1900.156982,-243.1356201,-400.0565491,1991.077881,-241.7427979,-399.6467896,1991.023438,-457.6516418,-184.3210449,2267.564209,-56.36657715,-457.5079346,1773.457397,-39.3380127,-355.0310059,1901.16748,-198.3012085,-148.5828247,2295.679688,1,1,1,1,0,0,0,0
8.164666667,489.88,24494,1,-73.66339111,-568.9494629,1710.843506,-182.2039795,-392.0704346,1823.262329,-350.1077881,-124.4285889,2286.200439,-196.0921021,-521.7553711,1746.690918,-345.5453796,-459.8671875,1902.664795,-226.0120239,-392.3705139,1990.396484,-224.8669434,-392.3040161,1989.928223,-455.7971802,-191.6981201,2261.415771,-54.80712891,-475.2204285,1781.822754,-40.60534668,-362.7213135,1901.603394,-206.0906372,-145.0252075,2296.700928,1,1,1,1,0,0,0,0
8.165,489.9,24495,1,-66.83526611,-582.1569824,1721.760742,-179.3241577,-402.4749756,1825.63501,-349.8573914,-125.1303711,2278.508301,-195.0593872,-529.8309326,1750.91626,-342.8980713,-469.7676392,1903.250732,-231.6239014,-397.3209229,1979.596924,-230.3144531,-396.7193604,1979.700928,-462.0310364,-192.524353,2258.675537,-55.42016602,-481.3556213,1786.396484,-39.44677734,-370.2084961,1903.085449,-205.2241211,-149.3359375,2291.574707,1,1,1,1,0,0,0,0
