id,trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z,s_1,s_2,s_3,s_4
49645,22,-430.8804321,-578.326355,1976.274414,-390.467041,-693.7414551,1853.153076,-363.1397095,-263.2278442,2069.687988,-433.3309326,-580.5325928,1977.486206,-544.4608154,-680.0753174,1967.734131,-426.7744751,-574.7471924,1979.0979,0,1,1,1
49646,22,-429.4793091,-577.3571167,1977.466797,-394.4612427,-689.0983887,1856.329346,-350.4934082,-270.5678101,2078.109131,-432.2731323,-579.234314,1978.751099,-542.0255127,-669.5438843,1964.550537,-424.9013672,-573.1187134,1980.568604,0,1,1,1
49647,22,-425.2018433,-576.0941162,1977.651001,-389.3040771,-688.9530029,1849.308838,-363.9832764,-259.0706787,2070.328613,-428.939209,-577.9331665,1978.758911,-538.4092407,-660.7944946,1966.745605,-421.2562866,-572.4699707,1980.480347,0,1,1,1
49648,22,-424.0830078,-576.5620117,1976.194092,-387.7842407,-682.3397217,1847.751465,-347.6620483,-249.1969604,2054.979004,-427.8293457,-578.0548096,1977.568115,-536.5774536,-658.7177124,1967.60376,-420.5608521,-572.666687,1978.754639,0,1,1,1
49649,22,-420.3586426,-573.6140747,1971.341309,-384.7052612,-681.4939575,1845.430298,-353.0690308,-267.8265381,2075.9729,-424.4418945,-574.7824097,1973.306396,-525.1477051,-645.2122803,1956.197266,-415.1896362,-568.7835693,1973.929688,0,1,1,1
49650,22,-417.9065552,-576.930603,1984.844482,-381.432251,-683.0292969,1847.699707,-361.0998535,-252.3247681,2073.265137,-423.703125,-578.4514771,1986.307373,-537.5895386,-652.8320923,1964.022705,-414.2822266,-573.1240234,1987.840576,0,1,1,1
49651,22,-417.677063,-567.8894043,1977.008911,-375.6513062,-681.6513672,1844.606567,-361.7598267,-255.8411255,2070.707764,-421.828064,-569.5804443,1978.439941,-523.3424072,-648.3283081,1958.035645,-412.6403198,-563.1618652,1980.042114,0,1,1,1
49652,22,-414.7859497,-570.2531738,1980.42041,-366.1174927,-676.395813,1840.13147,-368.4314575,-257.1403198,2070.254883,-419.5062256,-572.059082,1981.552856,-522.2889404,-644.5296631,1959.348633,-410.7677612,-566.3220215,1983.778931,0,1,1,1
49653,22,-408.7904663,-557.519104,1971.129761,-368.453186,-677.1636963,1838.960083,-351.4468994,-240.803833,2059.260254,-413.1054688,-558.9880371,1971.960205,-509.5688477,-629.9763794,1940.737671,-404.3085938,-553.522583,1974.152588,0,1,1,1
49654,22,-410.9241943,-569.9500732,1974.408569,-359.6026001,-672.5343018,1834.678711,-369.2931519,-249.9898682,2074.791992,-414.6879883,-571.5953369,1974.55896,-513.7047119,-634.7955322,1938.695923,-405.5184937,-566.4330444,1976.93042,0,1,1,1
49655,22,-424.0780029,-577.9425049,1979.024902,-358.3416748,-671.484375,1833.123413,-359.1036987,-245.5606689,2056.044922,-428.3920898,-580.1775513,1978.92981,-524.1577148,-649.270874,1952.728516,-420.2295532,-575.0201416,1980.403198,0,1,1,1
49656,22,-426.1220093,-575.869812,1977.812622,-352.6430664,-668.2142944,1830.385254,-356.6281738,-238.7593384,2044.880005,-429.4840698,-577.2718506,1976.994873,-511.1271667,-634.2220459,1931.153076,-422.4484863,-573.0658569,1979.631592,0,1,1,1
49657,22,-422.7956543,-581.5386963,1990.641479,-346.1422119,-670.0825195,1839.624268,-344.2305298,-228.5217896,2060.873047,-427.3980103,-583.0200195,1990.871216,-521.305542,-637.9451904,1948.878296,-419.1917114,-578.8634033,1993.634277,0,1,1,1
49658,22,-425.7687988,-583.9725952,1984.849365,-340.1224365,-658.3841553,1834.070801,-369.5698853,-242.0320435,2125.777832,-430.8203125,-585.5515137,1984.82959,-517.5856934,-639.6765747,1946.565186,-422.9401855,-581.2037354,1987.541382,0,1,1,1
