T,null,solo,dyadic
-0.2,0.978398523,0.974981594,0.970160286
-0.4,0.96163607,0.973907568,0.953206885
-0.6,0.943938513,0.96102589,0.948973717
-0.8,0.926082454,0.951987669,0.939524418
-1,0.908565589,0.948346362,0.935561229
-1.2,0.891925341,0.937327282,0.929400768
-1.4,0.875636898,0.925369846,0.934782439
-1.6,0.859171397,0.908894472,0.924857173
-1.8,0.8422594,0.885922339,0.918380983
-2,0.824521596,0.863692666,0.892818481
