,orginal,shuffled,,,,
_h90_val5_oc,0.929498613,0.929498613,TRUE,,_h80_val5_oc,0.940127266
_h100_val5_oc,0.917091317,0.917091317,TRUE,,_h90_val5_oc,0.929498613
_h110_val5_oc,0.905214016,0.905214016,TRUE,,_h100_val5_oc,0.917091317
_h120_val5_oc,0.895103761,0.895103761,TRUE,,_h110_val5_oc,0.905214016
_h130_val5_oc,0.88441819,0.88441819,TRUE,,_h120_val5_oc,0.895103761
_h140_val5_oc,0.874482283,0.874482283,TRUE,,_h130_val5_oc,0.88441819
_h150_val5_oc,0.862933904,0.862933904,TRUE,,_h140_val5_oc,0.874482283
_h0_val6_oc,0.938692863,0.938692863,TRUE,,_h150_val5_oc,0.862933904
_h10_val6_oc,0.940525021,0.940525021,TRUE,,_h0_val6_oc,0.938692863
_h20_val6_oc,0.94256927,0.94256927,TRUE,,_h10_val6_oc,0.940525021
_h30_val6_oc,0.947850387,0.947850387,TRUE,,_h20_val6_oc,0.94256927
_h40_val6_oc,0.950220264,0.950220264,TRUE,,_h30_val6_oc,0.947850387
_h50_val6_oc,0.950858175,0.950858175,TRUE,,_h40_val6_oc,0.950220264
_h60_val6_oc,0.948100093,0.948100093,TRUE,,_h50_val6_oc,0.950858175
_h70_val6_oc,0.94414843,0.94414843,TRUE,,_h60_val6_oc,0.948100093
_h80_val6_oc,0.938123167,0.938123167,TRUE,,_h70_val6_oc,0.94414843
_h90_val6_oc,0.927135678,0.927135678,TRUE,,_h80_val6_oc,0.938123167
_h100_val6_oc,0.915770424,0.915770424,TRUE,,_h90_val6_oc,0.927135678
_h110_val6_oc,0.904259851,0.904259851,TRUE,,_h100_val6_oc,0.915770424
_h120_val6_oc,0.894731065,0.894731065,TRUE,,_h110_val6_oc,0.904259851
_h130_val6_oc,0.884711212,0.884711212,TRUE,,_h120_val6_oc,0.894731065
_h140_val6_oc,0.875614035,0.875614035,TRUE,,_h130_val6_oc,0.884711212
_h150_val6_oc,0.866505441,0.866505441,TRUE,,_h140_val6_oc,0.875614035
_h0_val7_oc,0.937610406,0.937610406,TRUE,,_h150_val6_oc,0.866505441
_h10_val7_oc,0.940282569,0.940282569,TRUE,,_h0_val7_oc,0.937610406
_h20_val7_oc,0.944593913,0.944593913,TRUE,,_h10_val7_oc,0.940282569
_h30_val7_oc,0.950017221,0.950017221,TRUE,,_h20_val7_oc,0.944593913
_h40_val7_oc,0.952046938,0.952046938,TRUE,,_h30_val7_oc,0.950017221
_h50_val7_oc,0.953636693,0.953636693,TRUE,,_h40_val7_oc,0.952046938
_h60_val7_oc,0.951085948,0.951085948,TRUE,,_h50_val7_oc,0.953636693
_h70_val7_oc,0.945683248,0.945683248,TRUE,,_h60_val7_oc,0.951085948
_h80_val7_oc,0.93866262,0.93866262,TRUE,,_h70_val7_oc,0.945683248
_h90_val7_oc,0.928930944,0.928930944,TRUE,,_h80_val7_oc,0.93866262
_h100_val7_oc,0.917857883,0.917857883,TRUE,,_h90_val7_oc,0.928930944
_h110_val7_oc,0.906229998,0.906229998,TRUE,,_h100_val7_oc,0.917857883
_h120_val7_oc,0.896525181,0.896525181,TRUE,,_h110_val7_oc,0.906229998
_h130_val7_oc,0.886317223,0.886317223,TRUE,,_h120_val7_oc,0.896525181
_h140_val7_oc,0.875498008,0.875498008,TRUE,,_h130_val7_oc,0.886317223
