H_id,H_trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z
69806,9,-354.1564331,-251.0189819,2058.938965,-299.0710449,-248.7791138,1829.884888,-350.0210571,-52.49908447,2288.539551,-374.5335083,-234.4155273,2061.788818,-470.2715454,-261.5339355,1902.258789,-469.0060425,-359.2349854,2178.084473
69807,9,-354.5643921,-246.1408691,2057.236084,-296.9833374,-248.4967651,1830.007324,-349.7276001,-59.52490234,2293.81958,-375.1449585,-231.2145386,2062.158203,-466.6352539,-262.0582886,1904.051025,-472.5496826,-359.9247437,2180.121582
69808,9,-354.9459229,-243.2197266,2050.574219,-295.4978638,-246.9413452,1828.338379,-352.7122192,-55.38665771,2291.71875,-376.1378174,-229.7808838,2058.831299,-462.7260132,-261.4329224,1903.827026,-473.2087708,-354.5496216,2179.612305
69809,9,-351.461792,-236.6078491,2053.004883,-299.2248535,-241.1033936,1826.190186,-355.2254639,-50.87054443,2286.135742,-375.3937988,-227.1942139,2060.345703,-459.5849609,-264.0591431,1903.385742,-475.2547607,-354.6722412,2180.204102
69810,9,-355.6063232,-241.6531982,2050.759521,-297.055603,-239.6160889,1825.350586,-356.7325439,-53.77832031,2285.662598,-377.1268921,-229.3689575,2059.699219,-455.9849243,-264.5568848,1901.331543,-472.3902283,-359.5376282,2182.519531
69811,9,-369.0249023,-245.5806885,2032.828003,-285.5893555,-247.1768188,1829.310913,-365.8721313,-51.30712891,2282.921875,-384.6415405,-228.7612915,2046.386475,-452.8275757,-262.0906982,1899.347534,-461.7518311,-346.1517334,2188.794434
69812,9,-368.4975586,-236.602417,2028.213257,-281.6132813,-247.2160645,1831.699219,-363.3485107,-56.40997314,2289.366943,-383.381897,-223.7753906,2043.277222,-449.1418152,-260.5230713,1896.656616,-457.9067078,-345.7876892,2185.484863
69813,9,-365.9994507,-234.0222778,2027.486572,-278.1864624,-241.2946777,1829.924683,-362.1434326,-56.86242676,2289.838867,-382.3737183,-222.5148926,2042.45752,-447.1328735,-262.5263672,1893.602905,-458.300415,-359.774353,2191.498047
69814,9,-368.4017944,-236.9103394,2033.897339,-275.2578735,-237.3323364,1828.209351,-363.9013062,-51.69110107,2286.040527,-384.4330444,-223.7734375,2044.380249,-447.0180359,-263.3682861,1891.865234,-457.1418152,-367.5284119,2188.55249
69815,9,-370.0145874,-236.3643799,2027.176636,-275.6487427,-233.8710327,1822.647705,-366.3296509,-49.43670654,2278.514893,-387.4975586,-224.4121094,2035.595337,-443.1020813,-259.6838379,1889.967773,-462.0942078,-358.9015503,2178.034912
69816,9,-368.5795898,-228.0314941,2035.489014,-272.3963623,-239.1032715,1825.163208,-366.3363037,-50.86279297,2283.505859,-386.3469238,-218.1984863,2042.450684,-447.3137512,-260.6478271,1887.87085,-460.0921631,-354.2402039,2173.968262
69817,9,-361.1101685,-247.4631958,2035.125,-276.4057617,-233.487915,1823.960938,-367.1359863,-51.63372803,2273.641602,-379.2348022,-239.4854126,2040.942993,-437.4320374,-263.414978,1880.87146,-459.4765625,-361.7385559,2167.508789
69818,9,-365.097229,-259.4065552,2021.415039,-266.4078369,-233.5750122,1828.270386,-364.1524658,-48.92102051,2291.911621,-377.6549683,-244.5479126,2030.565674,-436.0043335,-253.1149902,1883.080566,-453.9251099,-349.5652466,2152.963867
69819,9,-363.1053467,-253.2425537,2025.322632,-259.8578491,-231.4209595,1825.84021,-361.5621338,-46.10107422,2293.276367,-377.0747681,-244.0980835,2030.874634,-431.0699768,-253.3460083,1880.980713,-453.6706543,-353.210083,2141.004883
69820,9,-365.4544067,-249.6985474,2032.777588,-256.463501,-230.6066284,1825.14978,-362.5081787,-45.3081665,2280.529053,-379.8007202,-244.197876,2039.292725,-426.0539551,-249.4869995,1883.936401,-460.1115417,-353.2483826,2137.429443
69821,9,-350.802002,-235.4828491,2027.373657,-252.7335205,-224.1987915,1822.029541,-365.7483521,-48.39025879,2275.486328,-370.1331177,-229.1503296,2030.46228,-421.2851257,-249.1975708,1875.548462,-459.3033142,-359.2859497,2131.868896
69822,9,-356.2936401,-233.7679443,2035.049927,-248.1009521,-216.7787476,1820.46228,-357.2139282,-45.37518311,2278.368408,-373.8300171,-231.5245361,2038.919678,-418.0438538,-245.5388794,1879.683105,-458.16922,-348.305603,2132.11084
69823,9,-355.6867065,-219.211792,2041.488281,-248.7355347,-208.7797852,1824.481934,-363.2537842,-46.61297607,2276.735107,-373.7971191,-221.1972046,2045.439819,-417.3926697,-242.4039307,1876.807983,-457.7402039,-335.9810791,2115.751221
69824,9,-336.4643555,-219.4096069,2047.428467,-237.6090088,-218.9942017,1823.804932,-350.9563599,-43.74963379,2283.548828,-357.4188232,-215.9604492,2048.407471,-411.274231,-238.4234619,1870.900391,-441.9961853,-323.6910095,2085.023682
