shift,trial,smh,sm,sh,s
90,11,0.948051948,0.917752443,0.925324675,0.819218241
100,11,0.93204698,0.901515152,0.913590604,0.804713805
110,11,0.915798611,0.891114983,0.896701389,0.789198606
120,11,0.90557554,0.880866426,0.888489209,0.772563177
130,11,0.888992537,0.874531835,0.872201493,0.754681648
140,11,0.874031008,0.875486381,0.848837209,0.73540856
10,12,0.945588235,0.940265487,0.954411765,0.910766962
20,12,0.957575758,0.946048632,0.946212121,0.900455927
30,12,0.96328125,0.952194357,0.9359375,0.889498433
40,12,0.97016129,0.955501618,0.930645161,0.877831715
50,12,0.968333333,0.953177258,0.9325,0.873745819
60,12,0.950862069,0.939446367,0.93362069,0.85899654
70,12,0.932142857,0.919354839,0.923214286,0.836021505
80,12,0.912037037,0.897769517,0.909259259,0.81133829
90,12,0.890384615,0.874517375,0.895192308,0.784749035
100,12,0.867,0.84939759,0.881,0.756024096
110,12,0.841666667,0.824267782,0.861458333,0.724895397
120,12,0.82173913,0.795851528,0.834782609,0.691048035
130,12,0.790909091,0.767123288,0.805681818,0.654109589
140,12,0.766666667,0.735645933,0.777380952,0.618421053
10,13,0.913551402,0.946135831,0.920560748,0.980679157
20,13,0.928827751,0.961031175,0.934808612,0.962230216
30,13,0.944240196,0.96990172,0.949754902,0.942874693
40,13,0.960427136,0.964105793,0.957286432,0.922544081
50,13,0.973582474,0.958010336,0.965206186,0.901162791
60,13,0.978174603,0.947612732,0.972222222,0.878647215
70,13,0.976902174,0.935967302,0.974184783,0.856948229
80,13,0.963687151,0.920868347,0.959497207,0.838935574
90,13,0.943247126,0.897694524,0.941091954,0.819884726
100,13,0.920857988,0.877596439,0.920118343,0.799703264
110,13,0.899390244,0.870030581,0.899390244,0.782110092
120,13,0.881289308,0.860410095,0.883647799,0.767350158
130,13,0.863636364,0.856677524,0.864448052,0.751628664
140,13,0.849832215,0.847643098,0.848154362,0.734848485
10,14,0.929149798,0.922845691,0.915991903,0.983466934
20,14,0.943181818,0.937116564,0.91838843,0.967791411
30,14,0.957805907,0.950417537,0.921413502,0.951461378
40,14,0.972521552,0.960554371,0.924030172,0.934434968
50,14,0.97907489,0.962962963,0.925110132,0.916666667
60,14,0.973536036,0.956570156,0.929054054,0.898106904
70,14,0.967165899,0.948177677,0.932603687,0.878701595
80,14,0.960495283,0.938811189,0.936320755,0.858391608
90,14,0.939009662,0.931384248,0.934782609,0.837112172
100,14,0.915222772,0.910146699,0.925742574,0.860635697
110,14,0.891497462,0.884085213,0.920050761,0.857769424
120,14,0.874348958,0.863753213,0.912109375,0.860539846
130,14,0.856283422,0.839709763,0.901069519,0.85817942
140,14,0.838598901,0.812330623,0.893543956,0.847560976
10,15,0.940769231,0.930555556,0.945384615,0.983024691
20,15,0.952380952,0.943471338,0.952380952,0.96656051
30,15,0.964754098,0.957236842,0.964754098,0.949013158
40,15,0.974576271,0.972789116,0.962711864,0.930272109
50,15,0.985087719,0.987676056,0.950877193,0.910211268
60,15,0.985454545,0.994525547,0.934545455,0.892335766
70,15,0.966037736,0.973484848,0.921698113,0.878787879
80,15,0.946078431,0.953740157,0.906862745,0.864173228
90,15,0.925510204,0.93647541,0.895918367,0.848360656
100,15,0.903191489,0.913461538,0.886170213,0.831196581
110,15,0.876666667,0.887276786,0.867777778,0.8125
120,15,0.855813953,0.863317757,0.841860465,0.792056075
130,15,0.836585366,0.840686275,0.818292683,0.769607843
140,15,0.816666667,0.819587629,0.784615385,0.744845361
