time_stamp_m,time_stamp_s,id,trial,H_headTop_x,H_headTop_y,H_headTop_z,H_neck_x,H_neck_y,H_neck_z,H_tailBase_x,H_tailBase_y,H_tailBase_z,H_lEar_x,H_lEar_y,H_lEar_z,H_lShoulder_x,H_lShoulder_y,H_lShoulder_z,H_lElbow_x,H_lElbow_y,H_lElbow_z,H_lWrist_x,H_lWrist_y,H_lWrist_z,H_lHip_x,H_lHip_y,H_lHip_z,H_rEar_x,H_rEar_y,H_rEar_z,H_rShoulder_x,H_rShoulder_y,H_rShoulder_z,H_rHip_x,H_rHip_y,H_rHip_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
1.338666667,80.32,4016,16,-121.4812622,-530.5564575,1666.505859,-167.74646,-352.8339844,1809.939941,-261.3462524,-84.26635742,2286.69043,-218.0587158,-457.019928,1734.507324,-344.5212708,-342.8388672,1872.214844,-220.2033691,-377.7648926,1972.333496,-218.9665527,-377.6702576,1970.973267,-360.677063,-140.7213745,2273.649414,-63.26062012,-449.0186768,1757.164307,-3.860595703,-326.878418,1885.770264,-131.9909058,-119.6520996,2292.940186,1,1,1,1,0,0,0,0
1.339,80.34,4017,16,-119.9706421,-539.1170044,1670.003906,-166.3357544,-367.6204834,1812.243042,-252.7487793,-88.62390137,2286.472168,-216.4229736,-465.4476318,1738.05835,-348.202301,-361.1296997,1878.240723,-216.0280151,-386.0081177,1977.194092,-214.925415,-386.1371765,1976.06897,-357.3925476,-147.8226929,2274.419434,-63.67785645,-457.6057129,1760.248535,-8.604614258,-336.0301514,1881.825928,-124.6970215,-121.0267334,2287.869629,1,1,1,1,0,0,0,0
1.339333333,80.36,4018,16,-123.8305054,-551.9039307,1676.709106,-163.8809204,-376.5925903,1812.952637,-258.5406189,-86.94818115,2286.450439,-218.7819214,-477.7896729,1742.115723,-344.1348267,-363.8396606,1881.71814,-218.0871277,-389.7697144,1974.397949,-217.0126953,-389.3747864,1973.525024,-359.5407715,-148.4845581,2275.881104,-64.43676758,-465.0048523,1764.829224,-6.803039551,-338.5522461,1881.371826,-127.8027954,-120.3783569,2287.047607,1,1,1,1,0,0,0,0
1.339666667,80.38,4019,16,-122.5578003,-570.8605347,1686.418213,-166.5547485,-389.190033,1815.99353,-251.8955383,-92.98596191,2286.054932,-219.5713806,-490.4157715,1748.946655,-344.4596558,-373.4769287,1884.706055,-222.6043091,-399.9590149,1981.228516,-221.3586731,-399.6679077,1980.427734,-359.9107971,-154.4041138,2274.172852,-64.8526001,-483.9646606,1770.701782,-6.941589355,-352.343811,1881.456543,-122.7846069,-126.2186279,2285.758545,1,1,1,1,0,0,0,0
1.34,80.4,4020,16,-121.9852905,-578.3588867,1688.539185,-166.2861938,-400.2978821,1818.140991,-250.069519,-97.51611328,2286.547852,-221.6560364,-504.5031738,1752.360718,-341.4076843,-384.086853,1890.510742,-214.5356445,-407.6499023,1976.811157,-213.3934326,-407.4375305,1975.950684,-361.778656,-156.2935791,2275.342529,-65.13720703,-491.8099976,1768.947144,-6.964660645,-361.2550659,1882.694702,-117.2207642,-133.0921021,2290.992676,1,1,1,1,0,0,0,0
1.340333333,80.42,4021,16,-125.7403564,-595.4893799,1698.1427,-168.7332153,-412.2054138,1820.909668,-252.7647705,-97.50598145,2281.23291,-225.3613892,-514.4185791,1759.781006,-338.4436951,-397.3635254,1897.605103,-222.5870972,-412.8093262,1975.800659,-221.3839111,-412.7852783,1975.356689,-362.4663391,-160.7873535,2265.391113,-66.62805176,-510.559082,1777.808716,-12.66101074,-370.6680298,1879.715088,-123.491272,-127.671936,2291.994629,1,1,1,1,0,0,0,0
1.340666667,80.44,4022,16,-132.3312378,-611.1323242,1706.810913,-166.2811279,-430.0784912,1826.84729,-254.1791382,-102.1470337,2279.416992,-231.06073,-526.6578979,1767.454468,-335.9932861,-399.0756836,1898.143555,-226.0824585,-413.3385315,1969.748901,-224.6747437,-413.4462891,1969.220459,-361.3911743,-168.2421265,2261.601318,-71.13916016,-530.4573364,1790.609131,-7.55065918,-378.7907104,1883.613281,-124.9126587,-132.7466431,2294.494141,1,1,1,1,0,0,0,0
1.341,80.46,4023,16,-136.067627,-629.9155273,1713.367554,-165.244812,-438.6314697,1831.712769,-253.9616699,-105.0117798,2282.87207,-228.9532471,-539.7506104,1776.185791,-335.6313782,-408.664856,1902.774658,-217.4602051,-413.0183105,1983.703735,-215.9783936,-413.0019531,1982.9104,-363.2870789,-170.5866699,2264.560303,-70.06469727,-542.8903809,1794.160522,-3.329345703,-402.9862671,1898.208008,-120.5482178,-133.2661133,2294.97583,1,1,1,1,0,0,0,0
1.341333333,80.48,4024,16,-136.6958618,-635.2297363,1718.694336,-166.3908081,-457.0663452,1835.982056,-271.3134766,-112.7180176,2272.304932,-234.2116699,-552.781311,1782.664307,-336.7808838,-423.9226074,1906.496338,-213.2228394,-432.3790588,1991.287476,-211.9754333,-432.4726257,1990.885498,-376.0713196,-176.8034058,2260.016602,-79.64624023,-552.5787354,1799.391602,-12.70947266,-411.103302,1890.18811,-134.0968628,-132.1948242,2291.13916,1,1,1,1,0,0,0,0
1.341666667,80.5,4025,16,-132.7435913,-649.2396851,1722.276001,-165.934021,-472.3373413,1839.831299,-276.4396973,-123.4371338,2284.663086,-235.9724731,-568.7337646,1788.893799,-334.6200562,-435.9466553,1906.408813,-203.4744263,-450.3281555,1995.679443,-202.2827759,-450.3615112,1995.327271,-376.2120972,-180.2835693,2263.140137,-79.91345215,-566.9763184,1806.136353,-16.52246094,-433.468689,1897.001709,-131.8955078,-146.0039063,2302.395508,1,1,1,1,0,0,0,0
